,state,comid,agro_processing,milling_facility,feed_mill,corn_husker,cocoa_mill,palm_oil_mill,rice_husker,crop_processing_facility,electricity_available,land_degradation_pct,increase_land_degradation,abandoned_farm_pct,land_issue_soil_erosion,land_issue_poor_roads,land_issue_other,produce_transport_method,extension_services_present,storage_facility_available,challenge_crop_diseases,challenge_animal_damage,sales_difficulties,poor_transport,main_crop_planted
473,PLATEAU,COM0021285,No,,,,,,,,No,None (0%),,None (0%),,,,Foot,No,No,No,Yes,No,Yes,"YAM, WHITE"
474,KOGI,COM0024655,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, THREE LEAVED"
475,KOGI,COM0022860,Yes,No,No,No,No,No,No,No,No,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,Yes,Yes,GUINEA CORN (SORGHUM)
476,PLATEAU,COM0019448,Yes,Yes,No,Yes,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,No,Yes,Yes,No,Yes,RICE
477,PLATEAU,COM0014251,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,No,MAIZE
478,BENUE,COM0007752,Yes,No,No,No,No,Yes,Yes,No,No,26%-50%,Decreasing,26%-50%,0.0,0.0,3.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
479,BENUE,COM0008715,Yes,Yes,No,No,No,No,No,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,CASSAVA
480,NIGER,COM0018787,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,Yes,No,No,No,Yes,MAIZE
481,BENUE,COM0018320,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1%-25%,Decreasing,None (0%),,,,Car/Van,Yes,Yes,Yes,Yes,No,Yes,MAIZE
482,PLATEAU,COM0018960,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
483,KWARA,COM0006286,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1%-25%,Staying the same,26%-50%,3.0,0.0,0.0,Car/Van,Yes,No,Yes,Yes,No,No,MAIZE
484,KWARA,COM0008233,No,,,,,,,,Yes,1%-25%,Decreasing,None (0%),,,,Car/Van,No,No,No,No,No,No,MAIZE
485,BENUE,COM0013036,Yes,No,No,No,No,Yes,Yes,No,Yes,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,Yes,No,Yes,Yes,Yes,No,CASSAVA
486,KOGI,COM0014892,Yes,No,No,No,No,Yes,Yes,Yes,No,76%-100%,Decreasing,51%-75%,0.0,0.0,1.0,Foot,Yes,No,Yes,No,No,Yes,"YAM, THREE LEAVED"
487,BENUE,COM0022806,Yes,No,No,Yes,No,No,No,Yes,Yes,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,Yes,No,No,Yes,No,CASSAVA
488,KWARA,COM0024091,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,Yes,No,Yes,
489,BENUE,COM0009752,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,CASSAVA
490,NIGER,COM0001117,No,,,,,,,,No,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,Yes,Yes,No,No,No,Yes,GUINEA CORN (SORGHUM)
491,BENUE,COM0022697,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,No,GUINEA CORN (SORGHUM)
492,KWARA,COM0020291,Yes,No,No,No,No,No,No,No,Yes,51%-75%,Decreasing,51%-75%,1.0,3.0,0.0,Car/Van,No,No,No,No,Yes,Yes,GUINEA CORN (SORGHUM)
493,KWARA,COM0021689,Yes,No,No,Yes,No,No,Yes,No,No,1%-25%,Increasing,None (0%),,,,Foot,No,No,Yes,No,Yes,Yes,RICE
494,BENUE,COM0016205,No,,,,,,,,No,None (0%),,None (0%),,,,Car/Van,No,No,Yes,No,No,No,"YAM, WHITE"
495,NASARAWA,COM0006290,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,
496,NIGER,COM0014149,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,
497,BENUE,COM0011077,Yes,Yes,No,No,No,No,Yes,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,"YAM, WHITE"
498,NASARAWA,COM0008836,Yes,Yes,No,Yes,No,No,Yes,No,No,26%-50%,Increasing,51%-75%,3.0,0.0,0.0,Tricycle/Motorcycle,Yes,Yes,Yes,Yes,Yes,Yes,MAIZE
499,NIGER,COM0017307,Yes,Yes,No,No,No,No,No,No,Yes,26%-50%,Decreasing,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
500,NIGER,COM0016766,Yes,No,No,No,No,No,No,Yes,No,51%-75%,Decreasing,51%-75%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,,,,,
501,KWARA,COM0023399,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
502,BENUE,COM0016215,Yes,Yes,No,Yes,No,No,Yes,No,Yes,51%-75%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,ORANGE
503,KOGI,COM0024537,No,,,,,,,,Yes,None (0%),,51%-75%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,
504,NASARAWA,COM0002089,Yes,Yes,No,Yes,No,No,No,No,No,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
505,NASARAWA,COM0009437,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
506,BENUE,COM0008596,Yes,No,No,No,No,Yes,No,No,Yes,51%-75%,Increasing,51%-75%,2.0,3.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,"YAM, WHITE"
507,BENUE,COM0019305,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,GROUND NUT/PEANUTS
508,NIGER,COM0014226,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
509,BENUE,COM0005768,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,,,,,CASSAVA
510,BENUE,COM0010651,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,No,No,No,No,No,CASSAVA
511,KWARA,COM0020561,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,CASSAVA
512,BENUE,COM0010277,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,CASSAVA
513,NIGER,COM0025061,No,,,,,,,,No,None (0%),,None (0%),,,,Car/Van,No,Yes,Yes,No,Yes,Yes,GUINEA CORN (SORGHUM)
514,PLATEAU,COM0018584,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,No,Yes,Yes,Yes,Yes,MAIZE
515,NASARAWA,COM0020911,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
516,PLATEAU,COM0015638,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,
517,KOGI,COM0011052,Yes,No,No,No,No,No,No,No,No,1%-25%,Decreasing,1%-25%,1.0,3.0,0.0,Foot,No,No,Yes,Yes,Yes,Yes,CASSAVA
518,PLATEAU,COM0008315,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,No,No,MAIZE
519,KWARA,COM0019273,Yes,No,No,No,No,No,No,No,No,51%-75%,Decreasing,26%-50%,0.0,0.0,1.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
520,PLATEAU,COM0015665,Yes,Yes,No,No,No,No,No,No,No,1%-25%,Increasing,1%-25%,2.0,0.0,0.0,Foot,No,No,Yes,No,No,No,MAIZE
521,KOGI,COM0016447,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,MAIZE
522,NASARAWA,COM0000287,No,,,,,,,,No,None (0%),,26%-50%,0.0,3.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,GUINEA CORN (SORGHUM)
523,BENUE,COM0009893,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
524,KWARA,COM0014908,No,,,,,,,,No,None (0%),,None (0%),,,,Car/Van,No,No,No,No,No,Yes,"YAM, THREE LEAVED"
525,KOGI,COM0024159,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
526,NIGER,COM0020468,Yes,No,No,No,No,No,No,No,No,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,Yes,No,No,No,Yes,
527,NIGER,COM0009005,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,
528,KWARA,COM0015502,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,,,,,
529,KOGI,COM0007925,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
530,KWARA,COM0002881,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Decreasing,1%-25%,0.0,0.0,3.0,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
531,KWARA,COM0000900,Yes,Yes,No,Yes,No,No,Yes,No,No,1%-25%,Decreasing,1%-25%,0.0,2.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
532,NASARAWA,COM0002858,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,
533,NIGER,COM0010564,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
534,KOGI,COM0002170,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Increasing,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,CASSAVA
535,NASARAWA,COM0000655,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,Yes,
536,NASARAWA,COM0001628,Yes,No,No,No,No,No,No,No,No,26%-50%,Decreasing,26%-50%,0.0,3.0,0.0,Foot,No,No,Yes,No,Yes,Yes,MAIZE
537,KOGI,COM0003089,No,,,,,,,,No,26%-50%,Increasing,None (0%),,,,Boat/Canoe,No,No,No,Yes,Yes,Yes,RICE
538,PLATEAU,COM0025600,No,,,,,,,,No,26%-50%,Staying the same,None (0%),,,,Car/Van,No,No,Yes,No,No,Yes,MAIZE
539,NASARAWA,COM0012949,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,Yes,No,Yes,No,
540,KOGI,COM0017069,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,No,Yes,
541,NASARAWA,COM0011255,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Boat/Canoe,No,No,Yes,Yes,Yes,Yes,
542,BENUE,COM0009605,Yes,No,No,Yes,No,No,No,Yes,Yes,1%-25%,Decreasing,1%-25%,0.0,0.0,1.0,Tricycle/Motorcycle,No,No,No,No,Yes,No,CASSAVA
543,KOGI,COM0003959,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,No,CASSAVA
544,KOGI,COM0005955,Yes,Yes,No,No,No,Yes,Yes,No,No,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,No,Yes,CASSAVA
545,KWARA,COM0002937,No,,,,,,,,Yes,None (0%),,None (0%),,,,Car/Van,No,No,,,,,
546,BENUE,COM0009764,Yes,Yes,No,No,No,Yes,Yes,No,No,None (0%),,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,Yes,Yes,No,Yes,Yes,"YAM, WHITE"
547,KOGI,COM0021780,No,,,,,,,,Yes,1%-25%,Decreasing,26%-50%,0.0,0.0,0.0,Car/Van,No,No,No,No,No,No,CASSAVA
548,NASARAWA,COM0026071,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,
549,KWARA,COM0012330,No,,,,,,,,Yes,None (0%),,None (0%),,,,Car/Van,No,No,No,Yes,Yes,Yes,
550,PLATEAU,COM0014982,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,MAIZE
551,NIGER,COM0013916,No,No,No,No,No,No,Yes,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,No,No,No,No,No,MAIZE
552,NIGER,COM0008727,Yes,Yes,Yes,Yes,No,No,Yes,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,MILLET/MAIWA
553,NASARAWA,COM0007129,No,,,,,,,,Yes,26%-50%,Decreasing,None (0%),,,,Foot,No,No,No,Yes,Yes,No,MAIZE
554,PLATEAU,COM0005371,Yes,Yes,No,No,No,No,No,No,No,1%-25%,Increasing,None (0%),,,,Car/Van,No,No,Yes,No,No,Yes,MAIZE
555,KOGI,COM0003931,No,,,,,,,,Yes,None (0%),,1%-25%,1.0,0.0,0.0,Car/Van,No,No,Yes,No,No,No,CASSAVA
556,BENUE,COM0000184,Yes,No,No,No,No,No,No,No,No,None (0%),,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
557,NIGER,COM0002954,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,Yes,No,
558,KOGI,COM0011818,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,CASSAVA
559,NIGER,COM0024492,Yes,No,No,Yes,No,No,No,No,Yes,26%-50%,Decreasing,None (0%),,,,Car/Van,No,No,No,No,No,No,MAIZE
560,BENUE,COM0004944,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,
561,FCT,COM0005491,Yes,No,No,No,No,No,No,No,Yes,None (0%),,51%-75%,1.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,MAIZE
562,PLATEAU,COM0006945,Yes,No,No,No,No,No,No,Yes,No,76%-100%,Decreasing,76%-100%,1.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
563,BENUE,COM0021709,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,No,Yes,No,No,No,"YAM, WHITE"
564,BENUE,COM0000349,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,"YAM, WHITE"
565,KOGI,COM0023377,No,,,,,,,,No,None (0%),,None (0%),,,,Boat/Canoe,No,No,No,Yes,No,Yes,
566,KWARA,COM0004475,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Decreasing,1%-25%,0.0,3.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
567,FCT,COM0012861,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,MAIZE
568,BENUE,COM0009198,No,,,,,,,,No,51%-75%,Increasing,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
569,BENUE,COM0016424,Yes,Yes,No,No,No,Yes,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,Yes,No,Yes,No,No,"YAM, WHITE"
570,KWARA,COM0015034,No,,,,,,,,No,1%-25%,Increasing,1%-25%,0.0,3.0,2.0,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,MAIZE
571,KOGI,COM0007829,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Bicycle,No,No,Yes,No,Yes,Yes,CASSAVA
572,BENUE,COM0006911,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,RICE
573,PLATEAU,COM0002055,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,
574,NIGER,COM0003728,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,MAIZE
575,NASARAWA,COM0026266,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,Yes,No,No,No,No,No,"YAM, WHITE"
576,KWARA,COM0025385,Yes,Yes,No,Yes,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,No,Yes,CASHEW
577,KWARA,COM0025769,Yes,No,No,No,No,No,No,No,Yes,26%-50%,Increasing,None (0%),,,,Car/Van,No,No,Yes,Yes,No,Yes,CASSAVA
578,NASARAWA,COM0023794,No,,,,,,,,No,1%-25%,Decreasing,26%-50%,0.0,1.0,3.0,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,RICE
579,KOGI,COM0019969,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
580,NASARAWA,COM0025459,No,,,,,,,,Yes,51%-75%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,MAIZE
581,FCT,COM0016085,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,
582,KWARA,COM0024881,Yes,No,No,No,No,No,No,No,Yes,51%-75%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,GROUND NUT/PEANUTS
583,PLATEAU,COM0021432,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,
584,NIGER,COM0006714,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,Yes,No,No,No,No,No,
585,NASARAWA,COM0001876,No,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
586,NIGER,COM0010910,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
587,NIGER,COM0011681,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,MAIZE
588,KWARA,COM0003569,No,,,,,,,,Yes,1%-25%,Increasing,1%-25%,0.0,1.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,MAIZE
589,PLATEAU,COM0006490,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,MAIZE
590,NIGER,COM0002475,Yes,No,No,Yes,No,No,Yes,Yes,Yes,1%-25%,Increasing,None (0%),,,,Foot,No,Yes,No,No,No,Yes,CASSAVA
591,NASARAWA,COM0012149,Yes,Yes,No,Yes,No,Yes,Yes,No,No,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
592,PLATEAU,COM0020770,No,,,,,,,,Yes,1%-25%,Increasing,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
593,NASARAWA,COM0004141,Yes,No,No,Yes,No,No,Yes,Yes,Yes,1%-25%,Decreasing,1%-25%,0.0,3.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
594,NIGER,COM0008302,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,1%-25%,Staying the same,1%-25%,2.0,3.0,0.0,Tricycle/Motorcycle,Yes,Yes,No,No,No,Yes,MAIZE
595,NASARAWA,COM0015565,No,No,No,No,No,No,No,No,No,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,
596,KWARA,COM0004956,Yes,No,No,No,No,No,No,No,No,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,GUINEA CORN (SORGHUM)
597,KOGI,COM0009015,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,CASSAVA
598,PLATEAU,COM0018672,Yes,No,No,Yes,No,No,Yes,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,No,Yes,No,No,Yes,MAIZE
599,PLATEAU,COM0009712,No,,,,,,,,Yes,None (0%),,1%-25%,0.0,0.0,0.0,Foot,No,No,No,No,Yes,Yes,MAIZE
600,KOGI,COM0007883,No,,,,,,,,No,51%-75%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,CASSAVA
601,BENUE,COM0017486,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,26%-50%,Decreasing,26%-50%,3.0,0.0,0.0,Tricycle/Motorcycle,No,Yes,Yes,Yes,No,No,CASSAVA
602,KWARA,COM0006079,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,GUINEA CORN (SORGHUM)
603,PLATEAU,COM0012672,No,,,,,,,,No,None (0%),,None (0%),,,,Car/Van,No,No,Yes,Yes,Yes,Yes,MAIZE
604,KOGI,COM0014479,Yes,Yes,Yes,No,No,Yes,No,No,Yes,26%-50%,Staying the same,None (0%),,,,Foot,No,No,Yes,Yes,No,Yes,"YAM, THREE LEAVED"
605,NIGER,COM0015734,No,,,,,,,,No,1%-25%,Increasing,1%-25%,2.0,3.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
606,FCT,COM0020151,Yes,Yes,No,Yes,No,No,Yes,No,Yes,26%-50%,Staying the same,26%-50%,0.0,1.0,0.0,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
607,KWARA,COM0016980,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
608,KWARA,COM0019788,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
609,KOGI,COM0001961,Yes,No,No,No,No,No,No,No,Yes,26%-50%,Increasing,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
610,PLATEAU,COM0020488,Yes,Yes,No,No,No,No,No,No,No,1%-25%,Increasing,None (0%),,,,Car/Van,No,No,Yes,No,No,Yes,MAIZE
611,KWARA,COM0010424,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Decreasing,1%-25%,1.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,No,No,No,CASSAVA
612,KOGI,COM0005533,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
613,KWARA,COM0020880,Yes,No,No,Yes,No,No,Yes,No,Yes,1%-25%,Staying the same,1%-25%,0.0,2.0,0.0,Foot,No,No,Yes,Yes,Yes,Yes,MAIZE
614,NIGER,COM0015661,No,,,,,,,,No,26%-50%,Increasing,26%-50%,0.0,0.0,3.0,Foot,No,No,Yes,No,Yes,Yes,MILLET/MAIWA
615,BENUE,COM0018325,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
616,BENUE,COM0001940,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,No,ORANGE
617,NIGER,COM0013532,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,Yes,Yes,No,No,No,CASSAVA
618,KOGI,COM0005271,Yes,No,No,No,No,Yes,Yes,No,Yes,None (0%),,1%-25%,1.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,No,No,Yes,CASSAVA
619,KOGI,COM0006298,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,No,Yes,BEANS/COWPEA
620,NIGER,COM0014365,Yes,No,No,No,No,No,No,No,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,MILLET/MAIWA
621,KWARA,COM0001856,No,,,,,,,,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,"YAM, WHITE"
622,NASARAWA,COM0024575,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
623,NIGER,COM0000005,Yes,Yes,No,Yes,No,No,No,Yes,Yes,None (0%),,1%-25%,3.0,0.0,0.0,Car/Van,No,No,Yes,No,No,Yes,MAIZE
624,BENUE,COM0010912,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,CASSAVA
625,PLATEAU,COM0021808,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,MAIZE
626,KWARA,COM0006929,Yes,No,No,No,No,No,Yes,No,No,51%-75%,Increasing,26%-50%,1.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,
627,BENUE,COM0002451,No,,,,,,,,Yes,76%-100%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,CASSAVA
628,NIGER,COM0023435,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,Yes,Yes,No,No,Yes,MAIZE
629,NASARAWA,COM0023423,Yes,No,No,No,No,No,No,No,No,None (0%),,1%-25%,3.0,0.0,2.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,MAIZE
630,KOGI,COM0009930,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
631,KWARA,COM0013272,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
632,BENUE,COM0019404,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,BAMBARA NUT
633,FCT,COM0004780,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,GUINEA CORN (SORGHUM)
634,KOGI,COM0009114,Yes,No,No,No,No,No,No,No,No,1%-25%,Decreasing,None (0%),,,,Foot,No,No,Yes,No,No,Yes,CASSAVA
